Frame Number,Object,Confidence Score
6,handbag,0.19594273
6,skateboard,0.19447663
6,handbag,0.19431603
6,handbag,0.19007276
6,bench,0.18771848
6,person,0.18681228
6,horse,0.18622355
6,handbag,0.18589804
6,person,0.18496543
6,potted plant,0.18423097
6,handbag,0.18342172
6,remote,0.18295902
6,person,0.1816127
6,cow,0.1809724
6,skateboard,0.17984262
6,car,0.17881559
6,bench,0.17803991
6,bottle,0.1764264
6,horse,0.17244737
6,chair,0.17161825
6,person,0.16966495
6,skateboard,0.16930266
6,cup,0.1681935
6,bench,0.16797566
6,truck,0.16750067
6,dog,0.16731574
6,person,0.16685587
7,person,0.7789802
7,person,0.65780896
7,giraffe,0.62846375
7,person,0.5800722
7,person,0.506472
7,person,0.5021417
7,giraffe,0.48782396
7,person,0.4808651
7,person,0.47574264
7,person,0.4715855
7,person,0.4648869
7,person,0.45695794
7,giraffe,0.4557094
7,person,0.4313666
7,horse,0.41386268
7,giraffe,0.41279292
7,person,0.38491702
7,person,0.37948057
7,person,0.36269733
7,person,0.35698923
7,person,0.32443136
7,person,0.32266706
7,handbag,0.31252974
7,person,0.2925579
7,person,0.29229513
7,handbag,0.2922379
7,person,0.29084703
7,person,0.2890842
7,handbag,0.2834276
7,handbag,0.28101385
7,handbag,0.27880356
7,person,0.27409238
7,person,0.27054045
7,person,0.26784095
7,person,0.26652902
7,person,0.26539233
7,bench,0.261778
7,horse,0.2616578
7,cell phone,0.25339952
7,person,0.25121808
7,person,0.2510124
7,horse,0.24120145
7,bench,0.24035768
7,handbag,0.23920202
7,cow,0.23763739
7,person,0.23697327
7,person,0.23603095
7,cell phone,0.23571219
7,horse,0.23344548
7,handbag,0.23120463
7,handbag,0.23063932
7,person,0.2291429
7,handbag,0.22658993
7,handbag,0.22415738
7,person,0.22227332
7,dog,0.22077133
7,horse,0.2197206
7,handbag,0.21302432
7,wine glass,0.21187767
7,horse,0.21115555
7,giraffe,0.21084586
7,potted plant,0.2106673
7,person,0.20778795
7,giraffe,0.20680933
7,person,0.20346522
7,skateboard,0.20223463
7,cow,0.20134237
7,handbag,0.20128503
7,person,0.20119202
7,person,0.2006489
7,giraffe,0.20039225
