Frame,Object Name,X1,Y1,X2,Y2
107,remote,321,408,366,455
107,chair,-2,387,436,851
107,hair drier,216,259,352,373
107,chair,0,387,301,851
108,person,58,231,448,851
108,remote,231,405,287,455
108,chair,-1,383,433,851
108,remote,318,408,364,455
109,person,57,235,448,851
109,remote,232,408,289,459
109,remote,318,408,362,455
109,chair,-1,381,432,851
110,person,56,239,445,851
110,remote,234,410,290,464
110,remote,317,410,362,457
110,chair,-1,377,423,851
110,chair,-1,378,291,851
111,person,54,245,443,851
111,remote,235,413,289,467
111,remote,318,411,361,459
111,chair,-1,376,425,851
111,chair,-1,378,295,851
112,person,52,250,441,851
112,remote,236,415,290,467
112,remote,317,412,361,460
112,remote,243,272,354,404
112,chair,-1,372,410,851
112,hair drier,243,272,353,405
113,person,51,253,440,851
113,remote,237,417,295,468
113,remote,318,414,360,462
113,hair drier,249,275,353,408
113,chair,0,368,296,851
114,person,49,256,437,851
114,remote,237,419,292,469
114,remote,318,415,361,462
114,hair drier,252,274,353,412
114,chair,-1,373,418,851
114,chair,0,369,293,851
115,person,50,259,433,851
115,remote,238,420,290,471
115,hair drier,254,278,353,416
115,remote,319,415,362,461
115,chair,0,367,301,851
116,person,52,262,431,850
116,remote,240,420,292,472
116,remote,320,414,361,461
116,hair drier,256,273,354,417
116,chair,-1,370,410,851
116,chair,0,367,274,851
117,person,53,265,430,851
117,remote,242,421,292,473
117,hair drier,260,276,355,418
117,chair,-1,370,424,851
117,remote,319,414,362,461
118,person,56,267,428,851
118,remote,244,421,294,473
118,hair drier,262,278,362,460
118,chair,0,366,310,851
119,person,59,268,428,851
119,remote,246,421,296,474
119,chair,0,368,312,850
119,hair drier,265,276,362,457
120,person,62,270,429,850
120,remote,248,421,299,473
120,chair,-1,368,313,850
120,hair drier,266,279,362,458
121,person,62,269,427,850
121,remote,250,421,299,473
121,chair,-1,366,316,851
121,hair drier,267,279,361,457
122,person,63,271,424,850
122,remote,251,422,300,475
122,chair,-1,365,318,851
122,hair drier,267,278,360,456
123,person,65,276,422,850
123,remote,252,424,301,477
123,chair,-1,365,317,851
123,hair drier,269,280,357,455
124,person,64,279,421,850
124,remote,252,425,301,478
124,chair,-1,370,318,851
124,hair drier,271,281,358,459
125,person,61,285,419,850
125,chair,-1,368,316,851
125,remote,252,427,300,481
125,remote,274,291,356,459
126,person,60,289,418,850
126,chair,-1,370,316,851
126,remote,250,431,298,485
127,person,60,296,417,850
127,chair,-1,370,316,851
127,remote,248,434,295,487
127,hair drier,281,297,343,440
128,person,58,300,417,850
128,chair,-1,370,315,851
128,remote,247,437,293,488
128,remote,297,400,351,465
128,chair,409,454,478,747
129,person,58,305,415,850
129,chair,-1,370,317,851
129,remote,246,440,292,490
129,remote,297,406,350,469
130,person,59,311,414,849
130,chair,-1,370,318,851
130,remote,245,443,291,500
130,remote,295,313,339,445
130,remote,297,410,348,471
131,person,58,316,413,850
131,chair,0,371,320,851
131,remote,246,445,291,501
132,person,61,323,414,849
132,remote,246,448,291,500
132,chair,0,371,322,851
132,remote,303,324,346,462
133,person,63,326,414,849
133,remote,247,451,293,500
133,chair,0,368,319,851
134,person,66,328,415,850
134,remote,249,454,294,508
134,chair,0,368,322,851
135,person,69,332,416,849
135,remote,252,457,296,508
135,chair,0,368,327,851
136,person,71,335,418,849
136,remote,254,459,299,509
136,chair,0,368,329,851
137,person,75,336,418,849
137,remote,256,461,300,509
137,chair,0,368,329,851
138,person,78,337,419,849
138,chair,0,368,332,851
138,remote,257,463,301,512
139,person,79,338,419,849
139,chair,0,368,333,851
140,person,79,341,419,849
140,remote,258,466,301,516
140,chair,0,369,333,851
141,person,80,342,419,849
141,chair,0,369,332,851
141,remote,257,469,300,518
142,person,79,344,419,850
142,remote,256,471,299,522
142,chair,0,370,332,851
143,person,79,345,419,850
143,chair,0,370,330,851
143,remote,255,474,298,526
144,person,78,347,419,849
144,chair,0,371,331,851
144,remote,256,476,298,528
145,person,80,348,420,850
145,chair,0,372,331,851
145,remote,256,479,297,529
146,person,81,348,420,850
146,chair,0,372,332,851
146,couch,0,369,428,850
147,person,81,349,421,850
147,chair,0,372,332,851
148,person,81,349,424,850
148,chair,0,372,332,851
149,person,82,348,424,850
149,remote,255,486,295,538
149,chair,0,372,332,851
150,person,82,347,427,850
150,chair,0,371,331,851
150,remote,256,486,296,539
151,person,83,348,428,850
151,remote,258,487,297,541
151,chair,0,372,332,851
151,couch,-1,373,405,851
152,person,83,347,431,850
152,remote,257,488,297,542
152,chair,0,372,333,851
152,remote,354,381,383,513
153,person,83,349,432,850
153,remote,257,489,298,545
153,chair,0,372,345,851
154,person,81,347,431,850
154,remote,260,489,298,545
154,chair,0,371,357,851
154,couch,-1,374,423,851
155,person,79,348,433,850
155,remote,259,491,298,550
155,couch,0,375,425,851
155,chair,0,372,383,851
156,person,79,350,436,850
156,remote,258,492,299,550
156,chair,0,372,370,851
157,person,76,349,440,849
157,remote,260,492,300,550
157,chair,0,372,344,851
157,couch,-1,375,404,851
158,person,78,351,442,850
